Wynyard	WYNY	-41	145.717	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	420601
Zeehan	ZEEH	-41.883	145.333	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	903108
Abbeywood	ABBE	-26.1069	151.629	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420592
Abbotsford	ABBO	-24.8437	152.025	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979655
ABINGDON DOWNS	ADOW	-17.8697	143.703	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563404
Abington	ABIN	-25.2032	152.329	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	840919
Acacia Ridge	ARID	-27.5896	153.028	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	765378
Acland	ACLA	-27.3037	151.691	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979678
Adare	ADAR	-27.5119	152.296	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141044
Advancetown	ADVA	-28.0331	153.28	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563397
AEROGLEN	AERO	-16.8834	145.747	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489959
Agnes Water	AWAT	-24.2125	151.903	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210430
Airlie Beach	ABEA	-20.2679	148.716	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	903129
AITKENVALE	AITK	-19.2953	146.767	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625606
Albany Creek	ACRE	-27.3455	152.968	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	765385
Alderley	ALDE	-27.4244	153.001	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210426
Aldershot	ALDR	-25.4666	152.657	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625605
Aldoga	ALDO	-23.8353	151.071	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420614
Alexandra	ALEX	-21.1645	149.1	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141086
Alexandra Headland	AHEA	-26.6706	153.108	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	764971
Alexandra Hills	AHIL	-27.5228	153.22	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420615
Algester	ALGE	-27.6113	153.034	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	281865
Alice Creek	ACRK	-26.76	151.632	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	351759
Allan	ALLA	-28.1956	151.95	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625189
Allenstown	ALLE	-23.3889	150.503	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141079
Alligator Creek	ACRZ	-21.3239	149.211	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	764963
Allora	ALLO	-28.0358	151.983	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902709
Alloway	ALLW	-24.9524	152.362	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	841011
ALMADEN	ALMA	-17.3409	144.676	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563504
ALOOMBA	ALOO	-17.1279	145.824	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902703
Alpha	ALPH	-23.6497	146.641	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979744
Amamoor	AMAM	-26.3452	152.675	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	841007
Amamoor Creek	ACRY	-26.3595	152.563	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902694
AMBER	AMBR	-17.7189	144.316	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979756
Amberley	AMBE	-27.6404	152.702	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902692
Amby	AMBY	-26.5492	148.187	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	209926
Amiens	AMIE	-28.5836	151.801	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	704307
Amity	AMIT	-27.3979	153.439	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489507
Amity Point	APOI	-27.3965	153.44	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	704271
Andergrove	ANDE	-21.0969	149.185	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902684
Anderleigh	ANDR	-25.9984	152.674	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	840985
Anduramba	ANDU	-27.1346	152.086	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979733
ANNANDALE	ANNA	-19.3096	146.787	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420647
Annerley	ANNE	-27.5116	153.032	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	281900
Anstead	ANST	-27.5456	152.872	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902680
Anthony	ANTH	-27.8782	152.684	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	351785
Antigua	ANTI	-25.6382	152.603	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489513
Apple Tree Creek	ATCR	-25.2152	152.234	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563468
Applethorpe	APPL	-28.6139	151.955	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	764952
Araluen	ARAL	-26.1595	152.668	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489525
Aramac	ARAM	-22.9722	145.245	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	764958
Aramara	ARAA	-25.6113	152.326	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489529
Arana Hills	AHIS	-27.3975	152.96	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	840965
Aratula	ARAT	-27.9815	152.549	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625249
ARBOUIN	ARBO	-17.1875	144.132	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	841083
ARCHER RIVER	ARIV	-13.0345	142.523	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141149
Archerfield	ARCH	-27.5684	153.024	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625253
Armstrong Beach	ABEC	-21.4549	149.29	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210007
Armstrong Creek	ACRX	-27.2256	152.798	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	281924
ARRIGA	ARRI	-17.1157	145.283	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210006
Arundel	ARUN	-27.9397	153.373	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563567
Ascot	ASCO	-27.4303	153.059	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	841068
Ashgrove	ASHG	-27.4456	152.992	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	209998
Ashgrove West	AWES	-27.4493	152.979	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489555
Ashmore	ASHM	-27.9864	153.382	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141122
Ashmore City	ACIT	-27.9774	153.381	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625275
Ashwell	ASHW	-27.6285	152.56	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979816
Aspley	ASPL	-27.3639	153.016	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	765046
ATHERTON	ATHE	-17.2683	145.475	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979818
Athol	ATHO	-27.6154	151.775	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	704370
Atkinsons Dam	ADAM	-27.421	152.456	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	209985
Aubigny	AUBI	-27.5222	151.642	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563526
Auchenflower	AUCH	-27.4755	152.993	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	704330
Augathella	AUGA	-25.7947	146.587	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489575
Augustine Heights	AHEI	-27.6691	152.894	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210043
AURUKUN	AURU	-13.3559	141.727	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	765000
Austinville	AUST	-28.1358	153.317	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	704323
Avenell Heights	AHEG	-24.8905	152.374	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625229
Avoca	AVOC	-24.8818	152.313	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420721
Avoca Vale	AVAL	-26.7558	152.236	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420720
Avondale	AVON	-24.7414	152.161	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902729
Ayr	AYR	-19.5761	147.405	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489587
BABINDA	BABI	-17.3449	145.925	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141165
Back Plains	BPLA	-27.8944	151.8	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563537
BADU ISLAND	BISA	-10.1201	142.139	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902735
Baffle West	BWES	-25.7245	148.672	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	281974
Bahrs Scrub	BSCR	-27.7391	153.167	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	281985
Bakers Bend	BBEN	-26.6472	146.177	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420749
Bakers Creek	BCRE	-21.219	149.147	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	765088
Baking Board	BBOA	-26.7068	150.545	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210068
Balberra	BALB	-21.3064	149.12	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	351873
Bald Hills	BHIL	-27.3062	153.013	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979894
